Week_Start_Date,Party,Spend_USD
2023-12-31,Republican,32400
2023-12-31,Democratic,219500
2024-01-07,Republican,24200
2024-01-07,Democratic,278100
2024-01-07,Other,2352100
2024-01-14,Democratic,278200
2024-01-14,Other,2596500
2024-01-14,Republican,54300
2024-01-21,Democratic,393300
2024-01-21,Other,2233600
2024-01-21,Republican,75200
2024-01-28,Republican,42200
2024-01-28,Other,2578400
2024-01-28,Democratic,494300
2024-02-04,Democratic,420900
2024-02-04,Other,3734400
2024-02-04,Republican,66200
2024-02-11,Democratic,298900
2024-02-11,Other,4454900
2024-02-11,Republican,63000
2024-02-18,Republican,94300
2024-02-18,Other,5224600
2024-02-18,Democratic,347400
2024-02-25,Democratic,448600
2024-02-25,Other,6127900
2024-02-25,Republican,98900
2024-03-03,Democratic,997700
2024-03-03,Other,3771100
2024-03-03,Republican,175100
2024-03-10,Republican,319500
2024-03-10,Other,1992700
2024-03-10,Democratic,1181700
2024-03-17,Democratic,1187900
2024-03-17,Other,2070000
2024-03-17,Republican,600300
2024-03-24,Democratic,1352400
2024-03-24,Other,1719300
2024-03-24,Republican,672600
2024-03-31,Republican,297100
2024-03-31,Other,1918600
2024-03-31,Democratic,1252900
2024-04-07,Democratic,1205900
2024-04-07,Other,2203000
2024-04-07,Republican,141000
2024-04-14,Democratic,1117100
2024-04-14,Other,2337800
2024-04-14,Republican,339900
2024-04-21,Republican,355500
2024-04-21,Other,2521300
2024-04-21,Democratic,564200
2024-04-28,Democratic,519400
2024-04-28,Other,2846200
2024-04-28,Republican,265900
2024-05-05,Democratic,598200
2024-05-05,Other,3015200
2024-05-05,Republican,376900
2024-05-12,Republican,448100
2024-05-12,Other,3279100
2024-05-12,Democratic,639800
2024-05-19,Democratic,646400
2024-05-19,Other,3408400
2024-05-19,Republican,346600
2024-05-26,Democratic,1422900
2024-05-26,Other,3683200
2024-05-26,Republican,1863500
2024-06-02,Republican,1539000
2024-06-02,Other,4243000
2024-06-02,Democratic,1573200
2024-06-09,Democratic,1422800
2024-06-09,Other,5483000
2024-06-09,Republican,412500
2024-06-16,Democratic,1885100
2024-06-16,Other,6115700
2024-06-16,Republican,368800
2024-06-23,Republican,545400
2024-06-23,Other,6299600
2024-06-23,Democratic,4984300
2024-06-30,Democratic,3453200
2024-06-30,Other,4510200
2024-06-30,Republican,319000
2024-07-07,Democratic,1758100
2024-07-07,Other,5019000
2024-07-07,Republican,469500
2024-07-14,Republican,1372100
2024-07-14,Other,5552800
2024-07-14,Democratic,1842500
2024-07-21,Democratic,18347800
2024-07-21,Other,7212900
2024-07-21,Republican,1074100
2024-07-28,Democratic,7781200
2024-07-28,Other,8919000
2024-07-28,Republican,1129000
2024-08-04,Republican,2120100
2024-08-04,Other,9081400
2024-08-04,Democratic,7721800
2024-08-11,Democratic,4186500
2024-08-11,Other,9701100
2024-08-11,Republican,3510600
2024-08-18,Democratic,9588900
2024-08-18,Other,10760200
2024-08-18,Republican,3477800
2024-08-25,Republican,3648300
2024-08-25,Other,11291100
2024-08-25,Democratic,7189700
